FasciaEta;Maschi;Femmine;Totale
0;32;25;57
1;31;20;51
2;38;27;65
3;39;32;71
4;37;40;77
5;44;42;86
6;50;43;93
7;54;31;85
8;37;38;75
9;42;45;87
10;44;52;96
11;48;38;86
12;50;48;98
13;63;48;111
14;63;40;103
15;41;52;93
16;50;39;89
17;62;44;106
18;39;47;86
19;37;38;75
20;45;47;92
21;60;55;115
22;50;45;95
23;55;50;105
24;43;34;77
25;50;46;96
26;50;40;90
27;41;38;79
28;59;45;104
29;38;39;77
30;42;44;86
31;42;52;94
32;37;48;85
33;53;49;102
34;32;48;80
35;60;59;119
36;53;43;96
37;57;51;108
38;45;68;113
39;69;57;126
40;79;59;138
41;61;51;112
42;63;65;128
43;74;72;146
44;64;72;136
45;74;78;152
46;77;87;164
47;84;82;166
48;90;95;185
49;90;91;181
50;81;77;158
51;91;95;186
52;77;78;155
53;78;93;171
54;73;85;158
55;93;81;174
56;82;88;170
57;81;93;174
58;69;84;153
59;69;74;143
60;73;80;153
61;60;95;155
62;65;91;156
63;71;70;141
64;76;68;144
65;68;88;156
66;67;81;148
67;78;68;146
68;57;73;130
69;66;55;121
70;52;76;128
71;63;70;133
72;75;69;144
73;77;90;167
74;66;68;134
75;40;63;103
76;49;58;107
77;41;58;99
78;45;44;89
79;61;52;113
80;52;56;108
81;53;59;112
82;33;52;85
83;32;44;76
84;29;44;73
85;19;30;49
86;14;46;60
87;24;31;55
88;13;29;42
89;10;21;31
90;6;28;34
91;5;19;24
92;6;21;27
93;7;24;31
94;4;12;16
95;3;6;9
96;2;6;8
97;0;4;4
98;1;4;5
99;1;1;2
100;0;0;0
101;0;1;1
102;0;0;0
103;0;1;1